full_name,created_at,updated_at,size,stargazers_count,language,has_issues,forks_count,archived,open_issues_count,topics,open_issues,description,fork,has_rego,has_sentinel,has_pulumi,has_cedar,has_kyverno,has_custodian,has_awsconfigcloudgaurd,has_opagatekeeper,contributors_count
1upD/propper-2013,2019-10-29T22:54:28Z,2022-12-09T10:15:43Z,485915,6,C++,True,0,False,0,,0,"Propper for Source SDK 2013, forked from tuxxi/propper-2013",False,False,True,False,False,False,False,False,False,16
3scale-labs/kiper,2019-11-06T14:17:47Z,2022-08-22T17:29:13Z,90,8,Go,True,3,False,1,,1,OPA build for Envoy with rate-limiting and 3scale integration,False,True,False,False,False,False,False,False,False,2
404954-TomasRivetta/Api-Cine,2023-11-05T23:49:32Z,2023-11-15T15:06:51Z,48544,3,C#,True,1,False,0,,0,,False,False,True,False,False,False,False,False,False,6
5t33/tf-cloud-workspaces-demo,2021-04-18T02:39:31Z,2022-04-07T23:44:18Z,18,4,HCL,True,4,False,0,,0,A demonstration of continuous infrastructure deployment with Terraform Cloud,False,False,True,False,False,False,False,False,False,2
ARamsay118/ARamsay-HoloLens,2021-12-22T09:31:12Z,2025-03-31T01:59:00Z,23902,6,ShaderLab,True,0,False,1,"augmented-reality,hololens,human-computer-interaction,unity",1,ARamsay: An Augmented Reality Cooking Assistant on HoloLens,False,False,True,False,False,False,False,False,False,2
AfricanAgroAid/AARR-Backend,2022-10-30T21:58:34Z,2023-04-27T11:42:52Z,12770,2,C#,True,2,False,1,,1,,False,False,True,False,False,False,False,False,False,6
Alex-Infnet/asp_net_infnet,2022-10-09T23:32:26Z,2024-04-30T03:00:51Z,44532,5,C#,True,0,False,0,,0,Este repositório é parte do conteúdo das aulas da disciplina Fundamentos do Desenvolvimento de Aplicações Web com Asp.net - Infnet,False,False,True,False,False,False,False,False,False,3
AlexRogalskiy/android-patterns,2021-01-15T16:23:02Z,2025-04-06T02:25:37Z,19147,3,Shell,True,3,False,325,"android,android-architecture,android-architecture-components,android-development,android-sdk,android-ui,ebook,patterns,patterns-design",325,🏆 Android4You Design patterns,False,True,False,False,False,False,False,False,False,13
AlexRogalskiy/kotlin-patterns,2020-12-13T06:47:09Z,2025-04-06T02:22:42Z,18708,4,Shell,True,0,False,341,"ebook,kotlin,kotlin-language,kotlin-library,patterns,patterns-design",341,🏆 Kotlin4You Design patterns,False,True,False,False,False,False,False,False,False,15
AlexRogalskiy/proverbs,2021-03-10T13:06:29Z,2024-03-08T04:06:45Z,28380,5,TypeScript,True,1,False,849,"proverbs,typescript,vercel-serverless-functions",849,🎲 Styled Proverbs API,False,True,False,False,False,False,False,False,False,7
AlexRogalskiy/scala-patterns,2020-12-13T06:47:41Z,2025-04-06T02:36:25Z,16919,2,Shell,True,0,False,360,"ebook,patterns,patterns-design,scala,scala-library,scala-programming-language",360,🏆 Scala4You Design patterns,False,True,False,False,False,False,False,False,False,15
AlexRogalskiy/spark-patterns,2020-12-23T13:25:52Z,2025-04-05T00:54:34Z,20757,3,Shell,True,0,False,306,"ebook,patterns,patterns-design,spark,spark-sql,spark-streaming,spark-structured-streaming",306,🏆 Spark4You Design patterns,False,True,False,False,False,False,False,False,False,15
Andrei-Fabian-Pop/University,2022-07-10T15:33:59Z,2024-05-12T08:08:41Z,143489,3,Jupyter Notebook,True,0,False,0,computer-science,0,"BBU, Computer Science",False,False,True,False,False,False,False,False,False,2
Arsenio2044/arsenio-src,2022-07-17T20:28:09Z,2024-12-27T19:36:50Z,441900,17,C++,True,2,False,1,"sdk,source-engine,source-sdk-2013,valve-games",1,"Arsenio 2044 takes place in a world decimated by 4 decades of warfare, corruption, instability, and loss.",False,False,True,False,False,False,False,False,False,5
Azure-Samples/azure-digital-twins-getting-started,2021-03-22T16:07:14Z,2025-03-11T10:38:03Z,10329,28,ShaderLab,True,25,False,6,,6,Resources for getting started with Azure Digital Twins,False,False,True,False,False,False,False,False,False,12
Azure/ShieldGuard,2022-11-07T23:48:20Z,2025-03-24T17:06:37Z,456,9,Go,True,7,False,6,secops,6,Enables best security practices for your project from day zero.,False,True,False,False,False,False,False,False,False,6
Azure/ato-toolkit,2020-03-26T20:42:12Z,2025-02-24T13:43:05Z,166604,80,PowerShell,True,45,False,14,,14,On this page you'll find everything you need to get started with the Azure blueprint for Zero Trust. This blueprint is currently in preview.,False,False,False,True,False,False,False,False,True,18
Azure/ato-toolkit,2020-03-26T20:42:12Z,2025-02-24T13:43:05Z,166604,80,PowerShell,True,45,False,14,,14,On this page you'll find everything you need to get started with the Azure blueprint for Zero Trust. This blueprint is currently in preview.,False,True,False,False,False,False,False,False,False,18
Azure/azure-remote-rendering,2020-01-11T00:47:04Z,2025-02-02T16:48:11Z,250081,109,HTML,True,39,False,3,,3,SDK and samples for Azure Remote Rendering,False,False,True,False,False,False,False,False,False,19
Bearer/bearer,2022-09-27T17:02:45Z,2025-04-04T03:38:35Z,25206,2250,Go,True,125,False,23,"appsec,code-quality,compliance,dataflow,devsecops,devsecops-tools,gdpr,owasp,privacy,sast,security,security-audit,security-automation,security-scanner,security-tools,static-analysis,static-code-analysis,vulnerabilities,vulnerability",23,"Code security scanning tool (SAST) to discover, filter and prioritize security and privacy risks.",False,True,False,False,False,False,False,False,False,15
