full_name,HashiCorp Sentinel,Open Policy Agent (OPA),Pulumi,Cedar Policy Language (CPL),Kyverno OSS,Cloud Custodian,AWS Config,GateKeeper,Kubewarden
a2-4am/4cade,0,0,0,0,0,0,8,0,0
AdminTurnedDevOps/kubernetes-real-world-course,0,0,0,0,0,0,0,2,0
alcideio/rbac-tool,0,0,0,0,0,0,0,0,0
amigavision/AmigaVision,0,0,0,0,0,0,0,0,0
anderseknert/opa-policy-composition,0,8,0,0,0,0,0,0,0
aptakube/kubespec.dev,0,0,0,0,181,0,0,0,0
aquasecurity/postee,0,38,0,0,0,0,0,0,0
aquasecurity/tracee-action,0,2,0,0,0,0,0,0,0
aquasecurity/trivy,0,43,0,0,0,0,0,0,0
aquasecurity/trivy-checks,0,1052,0,0,0,0,0,0,0
argoproj/argo-cd,0,0,0,0,11,0,0,0,0
ArthurVardevanyan/HomeLab,0,0,0,0,6,0,0,0,0
artifacthub/hub,0,5,0,0,1,0,0,0,0
aws-cloudformation/aws-cloudformation-templates,0,0,0,0,1,0,1,0,0
aws-cloudformation/aws-guard-rules-registry,0,0,0,0,0,0,210,0,0
aws-cloudformation/cloudformation-guard,0,0,0,0,0,0,45,0,0
aws-samples/awsome-distributed-training,0,0,0,0,2,0,0,0,0
aws-samples/cfn101-workshop,0,0,0,0,0,0,2,0,0
aws-samples/container-patterns,0,0,6,0,0,0,7,0,0
aws-samples/generative-ai-newsletter-app,0,0,0,7,0,0,0,0,0
aws-samples/observability-with-amazon-opensearch,0,0,0,0,2,0,0,0,0
awslabs/aws-config-rdk,0,0,0,0,1,0,1,0,0
awslabs/cedar-access-control-for-k8s,0,0,0,0,0,0,0,0,0
awslabs/crossplane-on-eks,0,0,0,0,3,0,0,7,0
awslabs/idf-modules,0,0,0,0,38,0,0,0,0
awslabs/sustainability-scanner,0,0,0,0,0,0,10,0,0
aws/aws-app-mesh-examples,0,0,0,0,1,0,0,0,0
aws/aws-cdk,0,0,0,0,0,0,0,0,0
aws/aws-eks-best-practices,0,0,0,0,5,0,0,23,0
aws/aws-parallelcluster,0,0,0,0,3,0,0,0,0
aws/aws-sdk-go,0,0,0,0,0,0,13,0,0
aws/aws-sdk-net,0,0,0,0,0,0,19,0,0
aws/aws-sdk-php,0,0,0,0,0,0,13,0,0
aws/aws-sdk-ruby,0,0,0,0,0,0,13,0,0
Azure-Samples/aks-labs,0,0,0,0,0,0,0,1,0
Azure-Samples/azure-digital-twins-getting-started,2,0,0,0,0,0,0,0,0
Azure/aks-app-routing-operator,0,0,0,0,0,0,0,45,0
Azure/aks-engine-azurestack,0,0,0,0,0,0,0,1,0
Azure/ARO-RP,0,11,0,0,0,0,0,7,0
Azure/ato-toolkit,0,0,0,0,0,0,0,0,0
Azure/azure-policy,0,9,0,0,0,0,0,71,0
Azure/azure-remote-rendering,4,0,0,0,0,0,0,0,0
Azure/Community-Policy,0,26,0,0,0,0,0,18,0
Azure/draft,0,0,0,0,0,0,0,24,0
Azure/ShieldGuard,0,11,0,0,0,0,0,0,0
babywyrm/sysadmin,0,0,0,0,2,0,0,2,0
bacalhau-project/bacalhau,0,12,0,0,0,0,0,0,0
