full_name,has_rego,has_sentinel,has_pulumi,has_cedar,has_kyverno,has_custodian,has_awsconfigcloudgaurd,has_opagatekeeper
RodolphoGLC/Dio-Bootcamp-Pottencial-.NET-Developer,False,True,False,False,False,False,False,False
RodrigoFreireA/SenaiFullStack,False,True,False,False,False,False,False,False
RodrigoRaiche/devInHouse_CSharp_m3,False,True,False,False,False,False,False,False
RodrigoSFDev/projeto_blog,False,True,False,False,False,False,False,False
Roger-Johansson/WestCoastEducationITHS,False,True,False,False,False,False,False,False
RogerJohanssonITHS/Labb2,False,True,False,False,False,False,False,False
RolandGuijt/ps-aspnetcore6apiauth,False,True,False,False,False,False,False,False
RolandGuijt/react-fundamentals,False,True,False,False,False,False,False,False
RolandoLopez16/ServiApp_v4,False,True,False,False,False,False,False,False
Romain-OD/gRPC,False,True,False,False,False,False,False,False
RomanVitolo/LoginAPI_.NET,False,True,False,False,False,False,False,False
Rookies6-NguyenCongTruong/NashTech_Assignment,False,True,False,False,False,False,False,False
RyanAOGallagher/MultimodalAuthentication,False,True,False,False,False,False,False,False
RyanFrantz/commando,True,False,False,False,False,False,False,False
Ryzoo/magisterka,False,True,False,False,False,False,False,False
S7Andrei/CRUD-TO-USERS,False,True,False,False,False,False,False,False
S7Andrei/LOG-CORS-METHOD,False,True,False,False,False,False,False,False
SAP/InfraBox,True,False,False,False,False,False,False,False
SOFMARC/ThomasGreg,False,True,False,False,False,False,False,False
SOHEL9764/12,False,True,False,False,False,False,False,False
SOHEL9764/14,False,True,False,False,False,False,False,False
SOHEL9764/15,False,True,False,False,False,False,False,False
SOHEL9764/18,False,True,False,False,False,False,False,False
SOHEL9764/19,False,True,False,False,False,False,False,False
SOHEL9764/20,False,True,False,False,False,False,False,False
SOHEL9764/21,False,True,False,False,False,False,False,False
SOHEL9764/22,False,True,False,False,False,False,False,False
SOHEL9764/23,False,True,False,False,False,False,False,False
SOHEL9764/24,False,True,False,False,False,False,False,False
SOHEL9764/25,False,True,False,False,False,False,False,False
SOHEL9764/new-project,False,True,False,False,False,False,False,False
SOHEL9764/new-project2,False,True,False,False,False,False,False,False
SOHEL9764/new-project3,False,True,False,False,False,False,False,False
SOHEL9764/new-project4,False,True,False,False,False,False,False,False
SOHEL9764/new-project7,False,True,False,False,False,False,False,False
SOHEL9764/repo08,False,True,False,False,False,False,False,False
SabirGuliyev/AB101-Practice,False,True,False,False,False,False,False,False
SabirGuliyev/AB202,False,True,False,False,False,False,False,False
SahidAliKhan/Simplilearn-Projects,False,True,False,False,False,False,False,False
SalamBhai/Modular-Monolith-Architecture-With-CQRS,False,True,False,False,False,False,False,False
Sam-Chu-07/Hololens2_Yolov5,False,True,False,False,False,False,False,False
Sam-Tech-Ideas/CRUDAPP,False,True,False,False,False,False,False,False
SamYuan1990/Probe,True,False,False,False,False,False,False,False
Samagra-Development/opa-poc,True,False,False,False,False,False,False,False
Samandar02/asp.net-core,False,True,False,False,False,False,False,False
Samtray/Callcenter-Simulator,False,True,False,False,False,False,False,False
Samuelepuri/terrafom,False,True,False,False,False,False,False,False
Samvid95/HololensDrawing,False,True,False,False,False,False,False,False
SanSteAaron/Copia-2DAW,False,True,False,False,False,False,False,False
SaraLund/ProgrammeringOpgaver,False,True,False,False,False,False,False,False
Sarangani-Sivarajah/File-Upload,False,True,False,False,False,False,False,False
Sazzadfahim/Twitter-Clone,False,True,False,False,False,False,False,False
Scalr/sample-tf-opa-policies,True,False,False,False,False,False,False,False
ScarlettZ98/BiSwipeG05,False,True,False,False,False,False,False,False
Scottin3d/TopoMap,False,True,False,False,False,False,False,False
Search-Pankaj/dotnetapp,False,True,False,False,False,False,False,False
SebaPL21/KeyMaster,False,True,False,False,False,False,False,False
Sebp23/DataDesignHW,False,True,False,False,False,False,False,False
SecurityIsIllusion/opa-integration,True,False,False,False,False,False,False,False
Selvi1410/test2,False,True,False,False,False,False,False,False
SemihMollaoglu/Angular,False,True,False,False,False,False,False,False
SergSha/lab-13,False,True,False,False,False,False,False,False
Sergio-bb/MapsterExample,False,True,False,False,False,False,False,False
Serhat60Karaca/Train-Ticket-System,False,True,False,False,False,False,False,False
Seva74/TSU_TASKS,False,True,False,False,False,False,False,False
SeyedMHM/TadbirPardazInterviewProject,False,True,False,False,False,False,False,False
ShadmanAbir/dotNetTraining,False,True,False,False,False,False,False,False
Shaigak/EndProject,False,True,False,False,False,False,False,False
Shamim2601/dotnet_core_mongodb_atlas_crud,False,True,False,False,False,False,False,False
ShanguUncle/UnityChatHololens,False,True,False,False,False,False,False,False
ShaoweiTeng-lab/MrtkJason,False,True,False,False,False,False,False,False
ShariValentaTestAutomator/EAApp,False,True,False,False,False,False,False,False
Sherlock67/CourierSystem,False,True,False,False,False,False,False,False
ShivamGautam98/tf_setinel_policies,False,True,False,False,False,False,False,False
Shossi/WebApplication5,False,True,False,False,False,False,False,False
Shreyav2000/ACS_567_HWK,False,True,False,False,False,False,False,False
Shubham2886/DOTNET,False,True,False,False,False,False,False,False
ShubhamHandge/DotNet,False,True,False,False,False,False,False,False
ShutovKS-Other-projects/Mini-zoo-AR,False,True,False,False,False,False,False,False
Sianooo/Aplikacje-Webowe,False,True,False,False,False,False,False,False
SignalRichard/polyglot-hello-world,True,False,False,False,False,False,False,False
SimonTvr/ApiContact,False,True,False,False,False,False,False,False
Sinoptik93/backend-lectures,False,True,False,False,False,False,False,False
SirRots/opa-policy-bundles-public,True,False,False,False,False,False,False,False
Skarlso/mpas-external-secret-public-demo,True,False,False,False,False,False,False,False
SlahIbenAmor/CSHARP_NOVEMBER_2024,False,True,False,False,False,False,False,False
Smithsonite/TerraformInAction,False,True,False,False,False,False,False,False
