full_name,has_rego,has_sentinel,has_pulumi,has_cedar,has_kyverno,has_custodian,has_awsconfigcloudgaurd,has_opagatekeeper,contributors_count
barringtonhaynes/lambda-extension-opa,True,False,False,False,False,False,False,False,2
barrosoj/atlantis,True,False,False,False,False,False,False,False,1
basavarajbhavi/Catalog-app-dotnet-code-nodejs,False,True,False,False,False,False,False,False,2
basavyr/python-azure-pipelines,False,True,False,False,False,False,False,False,1
basavyr/python-classes,False,True,False,False,False,False,False,False,1
basrioglumehmet/Ecommerce,False,True,False,False,False,False,False,False,1
basusaswata/scribe_sample_policy,True,False,False,False,False,False,False,False,5
bborkowsp/Programming-mobile-and-web-applications,False,True,False,False,False,False,False,False,1
becojo/adventofcode,True,False,False,False,False,False,False,False,4
becojo/ctf-challenges,True,False,False,False,False,False,False,False,1
bedriyekoc/pinpoint-call,False,True,False,False,False,False,False,False,1
beepdot/opa-demo,True,False,False,False,False,False,False,False,1
bejaouibechir/Doranco,False,True,False,False,False,False,False,False,1
benjaminsqlserver/BookStoreAngularWithWebAPI,False,True,False,False,False,False,False,False,1
benjaminsqlserver/VirtualFootballLeague,False,True,False,False,False,False,False,False,1
benlaplanche/iac-tfplan-demo,True,False,False,False,False,False,False,False,1
benlaplanche/snyky,True,False,False,False,False,False,False,False,1
benskosa/visual-saliency-mediapipe,False,True,False,False,False,False,False,False,3
berchevorg/sentinel-terraform,False,True,False,False,False,False,False,False,1
berchevorg/sentinel-test,False,True,False,False,False,False,False,False,1
besley/Slickflow,False,True,False,False,False,False,False,False,3
bethel-school-of-technology/team-kairos-backend,False,True,False,False,False,False,False,False,4
bhtruong93/dropdown-bug,False,True,False,False,False,False,False,False,1
bhumi259/AngularTopicwiseProjects,False,True,False,False,False,False,False,False,1
bianchidotdev/opa_suite,True,False,False,False,False,False,False,False,1
billysb/cscommunity,False,True,False,False,False,False,False,False,1
bin549/Hologram-Chemistry-Lab,False,True,False,False,False,False,False,False,1
biologomiguel/senai-uc9-projetoweb-lh-pets,False,True,False,False,False,False,False,False,1
bisaacson100/BlazorDotNet6,False,True,False,False,False,False,False,False,1
biswarup14/CRUD-Employee-Management-Basic,False,True,False,False,False,False,False,False,1
biu8bo/WeChatPayApiV3,False,True,False,False,False,False,False,False,1
blackletum/pf2c-src,False,True,False,False,False,False,False,False,1
blairdrummond/pre-commit-deno,True,False,False,False,False,False,False,False,1
blekane/Devopseasylearning,False,True,False,False,False,False,False,False,4
blossom-agit/docker,True,False,False,False,False,False,False,False,1
bluebrown/opa-every-with-issue,True,False,False,False,False,False,False,False,1
bluebrown/opa-issue-overlapping-roots,True,False,False,False,False,False,False,False,1
bluecusliyou/TechLearn,False,True,False,False,False,False,False,False,2
bluehawana/Cloud-Publish-Docker-MongoDb-CosmosDb,False,True,False,False,False,False,False,False,2
bmediato/tryHotel,False,True,False,False,False,False,False,False,2
bmf-san/poc-opa-access-control-system,True,False,False,False,False,False,False,False,1
bobbycoleman-dev/Dotnet-DateValidator,False,True,False,False,False,False,False,False,1
bobbycoleman-dev/Dotnet-DojoSurvery,False,True,False,False,False,False,False,False,1
bobbycoleman-dev/Dotnet-FormSubmission,False,True,False,False,False,False,False,False,1
bobbycoleman-dev/Dotnet-SessionWorkshop,False,True,False,False,False,False,False,False,1
bobbycoleman-dev/Dotnet-ViewModelFun,False,True,False,False,False,False,False,False,1
bobbycoleman-dev/ORM-ChefsNDishes,False,True,False,False,False,False,False,False,1
bolivar014/WebAPI_.NET,False,True,False,False,False,False,False,False,1
bolivar014/apis_net,False,True,False,False,False,False,False,False,1
boostsecurityio/poutine,True,False,False,False,False,False,False,False,11
bootpay/backend-dotnet,False,True,False,False,False,False,False,False,1
borgeby/jarl,True,False,False,False,False,False,False,False,5
boughanmiyoussef/Coding-Dojo,False,True,False,False,False,False,False,False,1
breymander/sentinel-training,False,True,False,False,False,False,False,False,1
bridgecrewio/TFE-sentinel-policy-set,False,True,False,False,False,False,False,False,2
brlekmarko/pivoteka,False,True,False,False,False,False,False,False,2
brnmnz/authentication-service,False,True,False,False,False,False,False,False,1
brnmnz/shopcart-service,False,True,False,False,False,False,False,False,1
brunno26/atividade-api-get,False,True,False,False,False,False,False,False,1
brunoCarvalhoJr/LoginGoogleApi,False,True,False,False,False,False,False,False,1
brunof-vieira/Atividade_10b,False,True,False,False,False,False,False,False,1
brunotavaresz/ITW,False,True,False,False,False,False,False,False,1
bryceikeda/PRogramAR,False,True,False,False,False,False,False,False,1
btkrausen/hashicorp,False,True,False,False,False,False,False,False,13
buchimgari5408/Harshicorp,False,True,False,False,False,False,False,False,1
bufaonanet/FastEndpointTutorial,False,True,False,False,False,False,False,False,1
burkayelbek/GameMVPCalculator,False,True,False,False,False,False,False,False,2
