full_name,HashiCorp Sentinel,Open Policy Agent (OPA),Pulumi,Cedar Policy Language (CPL),Kyverno OSS,Cloud Custodian,AWS Config,OpagateKeeper
094459/cedar-flask-demo,0,0,0,1,0,0,0,0
1Strategy/cloud-custodian-demo,0,0,0,0,0,4,0,0
1upD/propper-2013,17,0,0,0,0,0,0,0
3scale-labs/kiper,0,10,0,0,0,0,0,0
404954-TomasRivetta/Api-Cine,1,0,0,0,0,0,0,0
4linux/541,0,3,0,0,0,0,0,5
4linux/543,0,0,0,0,0,0,0,3
5t33/tf-cloud-workspaces-demo,4,0,0,0,0,0,0,0
a2-4am/4cade,0,0,0,0,0,0,8,0
a2d24/python-opa-wasm,0,4,0,0,0,0,0,0
aavarghese/opa-schema-examples,0,11,0,0,0,0,0,0
ACED-IDP/data_model,0,0,0,0,0,4,0,0
acryldata/datahub-cloudformation,0,0,0,0,5,0,0,0
adamjimenez/shiftedit,0,0,0,0,0,0,17,0
adhar-io/adhar,0,0,0,0,22,0,0,0
AdminTurnedDevOps/kubernetes-examples,0,0,0,0,1,0,0,2
AdminTurnedDevOps/kubernetes-real-world-course,0,0,0,0,0,0,0,2
AfricanAgroAid/AARR-Backend,1,0,0,0,0,0,0,0
ai-solution-eng/frameworks,0,0,0,0,4,0,0,0
aileron-gateway/aileron-gateway,0,14,0,0,0,0,0,0
ajcwebdev/a-first-look,0,0,1,0,0,0,0,0
akbarali2019/C-with-.NET-Framework,1,0,0,0,0,0,0,0
akudrati/Azure-Policy,0,18,0,0,0,0,0,9
akunull/piloslib,14,0,0,0,0,0,0,0
alcideio/rbac-tool,0,0,0,0,0,0,0,0
alephdata/offshoreleaks,0,0,0,0,0,1,0,0
Alex-Infnet/asp_net_infnet,6,0,0,0,0,0,0,0
AlexRogalskiy/android-patterns,0,6,0,0,0,0,0,0
AlexRogalskiy/kotlin-patterns,0,6,0,0,0,0,0,0
AlexRogalskiy/proverbs,0,6,0,0,0,0,0,0
AlexRogalskiy/scala-patterns,0,6,0,0,0,0,0,0
AlexRogalskiy/spark-patterns,0,6,0,0,0,0,0,0
alezhao/microsoft-devhack,2,0,0,0,0,0,0,0
amigavision/AmigaVision,0,0,0,0,0,0,0,0
Aminmiri82/PersonalGPTAssistant,0,0,0,0,0,0,3,0
anamariapanait10/FMI-BS-Resources,0,0,0,0,0,0,0,0
anderseknert/opa-policy-composition,0,8,0,0,0,0,0,0
andreealalaaaa/ZeroToHero,1,0,0,0,0,0,0,0
Andrei-Fabian-Pop/University,1,0,0,0,0,0,0,0
angrycub/nomad_example_jobs,2,0,0,0,0,0,0,0
AnikG-Org/devops-practice,0,0,0,0,1,0,0,0
appdevgbb/Project-Stormbreaker,0,0,0,0,1,0,0,0
appscode-cloud/ui-wizards,0,0,0,0,0,0,0,5
aptakube/kubespec.dev,0,0,0,0,181,0,0,0
aquasecurity/postee,0,38,0,0,0,0,0,0
aquasecurity/tracee-action,0,2,0,0,0,0,0,0
aquasecurity/trivy,0,43,0,0,0,0,0,0
aquasecurity/trivy-checks,0,1052,0,0,0,0,0,0
ARamsay118/ARamsay-HoloLens,2,0,0,0,0,0,0,0
argoproj/argo-cd,0,0,0,0,11,0,0,0
armenr/5thK8s,0,0,0,0,2,0,0,0
armstat/sdg-data-armenia,0,0,0,0,0,1,0,0
Arsenio2044/arsenio-src,29,0,0,0,0,0,0,0
art-santos/language-database-benchmark,0,0,93,0,0,0,0,0
ArthurVardevanyan/HomeLab,0,0,0,0,6,0,0,0
artifacthub/hub,0,5,0,0,1,0,0,0
asbjorn-dev/MiniProjekt2023,2,0,0,0,0,0,0,0
aserto-dev/policy-aona,0,95,0,0,0,0,0,0
aserto-dev/runtime,0,15,0,0,0,0,0,0
ashok-an/flask-opa,0,2,0,0,0,0,0,0
askmeegs/build-a-platform-with-krm,0,0,0,0,0,0,0,2
AtakanDengiz/video-conference-project,0,0,0,0,0,0,0,0
atheiman/katacoda-scenarios,0,0,0,0,0,0,0,4
Avni-Sharma/gitopscon_na_2022_session,0,0,0,0,21,0,0,0
aws-cloudformation/aws-cloudformation-templates,0,0,0,0,1,0,1,0
aws-cloudformation/aws-guard-rules-registry,0,0,0,0,0,0,210,0
aws-cloudformation/cloudformation-guard,0,0,0,0,0,0,45,0
aws-ia/cfn-abi-aws-reference-guide,0,0,0,0,0,1,0,0
aws-samples/amazon-verified-permissions-asp-dotnet-core-custom-auth-policy-provider,0,0,0,6,0,0,0,0
aws-samples/aws-cloud-custodian-sample-collection,0,0,0,0,0,169,0,0
aws-samples/aws-control-tower-cicd-cloud-custodian,0,0,0,0,0,3,0,0
aws-samples/aws-do-hyperpod,0,0,0,0,2,0,0,0
aws-samples/aws-infra-policy-as-code-with-terraform,0,186,0,0,0,0,0,0
aws-samples/aws-security-hub-findings-export,0,0,0,0,0,0,0,0
aws-samples/aws-securityhub-automated-remediations-workshop,0,0,0,0,0,3,0,0
aws-samples/awsome-distributed-training,0,0,0,0,2,0,0,0
aws-samples/cedar-policy-validation-pipeline,0,0,0,7,0,0,0,0
aws-samples/cfn101-workshop,0,0,0,0,0,0,2,0
aws-samples/container-patterns,0,0,6,0,0,0,7,0
aws-samples/eks-security-compromised-cluster-remediation,0,0,0,0,0,0,0,6
aws-samples/flux-eks-gitops-config,0,0,0,0,11,0,0,0
aws-samples/generative-ai-newsletter-app,0,0,0,7,0,0,0,0
aws-samples/hpc-applications,0,0,0,0,4,0,0,0
aws-samples/observability-with-amazon-opensearch,0,0,0,0,2,0,0,0
aws-samples/preventive-security-controls-in-pulumi-iac-pipeline,0,0,11,0,0,0,0,0
aws-samples/saas-authnz-demo-with-amazon-cognito,0,0,0,5,0,0,0,0
aws-samples/sample-emr-eks-hive-metastore-patterns,0,0,0,0,1,0,0,0
aws-samples/sample-packages-for-aws-tnb,0,0,0,0,2,0,0,0
aws-solutions-library-samples/guidance-for-automated-geospatial-insights-engine-on-aws,0,0,0,15,0,0,0,0
