full_name,HashiCorp Sentinel,Open Policy Agent (OPA),Pulumi,Cedar Policy Language (CPL),Kyverno OSS,Cloud Custodian,AWS Config,OpagateKeeper,Kubewarden
094459__cedar-flask-demo,0,0,0,1,0,0,0,0,0
1Strategy__cloud-custodian-demo,0,0,0,0,0,4,0,0,0
1upD__propper-2013,17,0,0,0,0,0,0,0,0
3scale-labs__kiper,0,10,0,0,0,0,0,0,0
404954-TomasRivetta__Api-Cine,1,0,0,0,0,0,0,0,0
4linux__541,0,3,0,0,0,0,0,5,0
4linux__543,0,0,0,0,0,0,0,3,0
5t33__tf-cloud-workspaces-demo,4,0,0,0,0,0,0,0,0
a2-4am__4cade,0,0,0,0,0,0,8,0,0
a2d24__python-opa-wasm,0,4,0,0,0,0,0,0,0
aavarghese__opa-schema-examples,0,11,0,0,0,0,0,0,0
ACED-IDP__data_model,0,0,0,0,0,4,0,0,0
acryldata__datahub-cloudformation,0,0,0,0,5,0,0,0,0
adamjimenez__shiftedit,0,0,0,0,0,0,17,0,0
adhar-io__adhar,0,0,0,0,22,0,0,0,0
AdminTurnedDevOps__kubernetes-examples,0,0,0,0,1,0,0,2,0
AdminTurnedDevOps__kubernetes-real-world-course,0,0,0,0,0,0,0,2,0
AfricanAgroAid__AARR-Backend,1,0,0,0,0,0,0,0,0
ai-solution-eng__frameworks,0,0,0,0,4,0,0,0,0
aileron-gateway__aileron-gateway,0,14,0,0,0,0,0,0,0
ajcwebdev__a-first-look,0,0,1,0,0,0,0,0,0
akbarali2019__C-with-.NET-Framework,1,0,0,0,0,0,0,0,0
akudrati__Azure-Policy,0,18,0,0,0,0,0,9,0
akunull__piloslib,14,0,0,0,0,0,0,0,0
alcideio__rbac-tool,0,0,0,0,0,0,0,0,0
alephdata__offshoreleaks,0,0,0,0,0,1,0,0,0
Alex-Infnet__asp_net_infnet,6,0,0,0,0,0,0,0,0
AlexRogalskiy__android-patterns,0,6,0,0,0,0,0,0,0
AlexRogalskiy__kotlin-patterns,0,6,0,0,0,0,0,0,0
AlexRogalskiy__proverbs,0,6,0,0,0,0,0,0,0
AlexRogalskiy__scala-patterns,0,6,0,0,0,0,0,0,0
AlexRogalskiy__spark-patterns,0,6,0,0,0,0,0,0,0
alezhao__microsoft-devhack,2,0,0,0,0,0,0,0,0
amigavision__AmigaVision,0,0,0,0,0,0,0,0,0
Aminmiri82__PersonalGPTAssistant,0,0,0,0,0,0,3,0,0
anamariapanait10__FMI-BS-Resources,0,0,0,0,0,0,0,0,0
anderseknert__opa-policy-composition,0,8,0,0,0,0,0,0,0
andreealalaaaa__ZeroToHero,1,0,0,0,0,0,0,0,0
Andrei-Fabian-Pop__University,1,0,0,0,0,0,0,0,0
angrycub__nomad_example_jobs,2,0,0,0,0,0,0,0,0
AnikG-Org__devops-practice,0,0,0,0,1,0,0,0,0
appdevgbb__Project-Stormbreaker,0,0,0,0,1,0,0,0,0
appscode-cloud__ui-wizards,0,0,0,0,0,0,0,5,0
aptakube__kubespec.dev,0,0,0,0,181,0,0,0,0
aquasecurity__postee,0,38,0,0,0,0,0,0,0
aquasecurity__tracee-action,0,2,0,0,0,0,0,0,0
aquasecurity__trivy,0,43,0,0,0,0,0,0,0
aquasecurity__trivy-checks,0,1052,0,0,0,0,0,0,0
ARamsay118__ARamsay-HoloLens,2,0,0,0,0,0,0,0,0
argoproj__argo-cd,0,0,0,0,11,0,0,0,0
armenr__5thK8s,0,0,0,0,2,0,0,0,0
armstat__sdg-data-armenia,0,0,0,0,0,1,0,0,0
Arsenio2044__arsenio-src,29,0,0,0,0,0,0,0,0
art-santos__language-database-benchmark,0,0,93,0,0,0,0,0,0
ArthurVardevanyan__HomeLab,0,0,0,0,6,0,0,0,0
artifacthub__hub,0,5,0,0,1,0,0,0,0
asbjorn-dev__MiniProjekt2023,2,0,0,0,0,0,0,0,0
aserto-dev__policy-aona,0,95,0,0,0,0,0,0,0
aserto-dev__runtime,0,15,0,0,0,0,0,0,0
ashok-an__flask-opa,0,2,0,0,0,0,0,0,0
askmeegs__build-a-platform-with-krm,0,0,0,0,0,0,0,2,0
AtakanDengiz__video-conference-project,0,0,0,0,0,0,0,0,0
atheiman__katacoda-scenarios,0,0,0,0,0,0,0,4,0
Avni-Sharma__gitopscon_na_2022_session,0,0,0,0,21,0,0,0,0
aws-cloudformation__aws-cloudformation-templates,0,0,0,0,1,0,1,0,0
aws-cloudformation__aws-guard-rules-registry,0,0,0,0,0,0,210,0,0
aws-cloudformation__cloudformation-guard,0,0,0,0,0,0,45,0,0
aws-ia__cfn-abi-aws-reference-guide,0,0,0,0,0,1,0,0,0
